#sequencies, Sigma, #items_per_sequence, #distinct_per_sequence, #occurence_on_sequence, Overall_Accur, #minPredictionRario, splitMethod, splitLength, noiseRatio, DatasetName
5000,4,11.6854,3.544,3.297234762979684,0.6776,9.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,9.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,9.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,9.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.5541821,9.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,9.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26518664,9.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,9.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,9.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.41845703,9.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2876,9.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8716,9.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1188,9.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3302,9.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,9.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1524,9.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.3192189,10.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.26849315,10.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5388,10.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.001013582,10.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,10.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.3629111,10.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1846,10.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,10.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,10.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,10.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,10.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.552328,10.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,10.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,10.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,10.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,10.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.41845703,10.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2874,10.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8716,10.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1186,10.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3302,10.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,10.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.151,10.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.31366906,0.0,0,1.0,0.1,BMS
730,267,93.00411,51.994522,1.78872905469491,0.30273974,0.0,0,1.0,0.1,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5536,0.0,0,1.0,0.1,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.06892358,0.0,0,1.0,0.1,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0128,0.0,0,1.0,0.1,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.31655556,0.0,0,1.0,0.1,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.2028,0.0,0,1.0,0.1,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,0.0,0,1.0,0.1,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,0.0,0,1.0,0.1,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,0.0,0,1.0,0.1,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,0.0,0,1.0,0.1,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.57993406,0.0,0,1.0,0.1,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,0.0,0,1.0,0.1,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26445475,0.0,0,1.0,0.1,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,0.0,0,1.0,0.1,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3808,0.0,0,1.0,0.1,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.4794922,0.0,0,1.0,0.1,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.4834,0.0,0,1.0,0.1,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8572,0.0,0,1.0,0.1,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1182,0.0,0,1.0,0.1,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3392,0.0,0,1.0,0.1,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.3038,0.0,0,1.0,0.1,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1682,0.0,0,1.0,0.1,SPICE15
4865,494,11.227955,11.227955,1.0,0.3192189,1.0,0,1.0,0.1,BMS
730,267,93.00411,51.994522,1.78872905469491,0.28082192,1.0,0,1.0,0.1,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.541,1.0,0,1.0,0.1,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.001013582,1.0,0,1.0,0.1,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,1.0,0,1.0,0.1,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.36253333,1.0,0,1.0,0.1,KOSARAK
